InstanceType,memory_gb,network,vcpu
r5.24xlarge,768.0,25 Gigabit,96
c5d.2xlarge,16.0,Up to 10 Gigabit,8
c5d.xlarge,8.0,Up to 10 Gigabit,4
r4.xlarge,30.5,Up to 10 Gigabit,4
c4.xlarge,7.5,High,4
r4.4xlarge,122.0,Up to 10 Gigabit,16
f1.4xlarge,244.0,10 Gigabit,16
c3.large,3.75,Moderate,2
c5.18xlarge,144.0,25 Gigabit,72
r5.12xlarge,384.0,10 Gigabit,48
c4.4xlarge,30.0,High,16
z1d.3xlarge,96.0,Up to 10 Gigabit,12
m5a.2xlarge,32.0,Up to 10 Gigabit,8
r5d.4xlarge,128.0,10 Gigabit,16
m5d.xlarge,16.0,Up to 10 Gigabit,4
r5.4xlarge,128.0,10 Gigabit,16
m5d.24xlarge,384.0,25 Gigabit,96
c4.8xlarge,60.0,10 Gigabit,36
c4.2xlarge,15.0,High,8
p2.16xlarge,768.0,20 Gigabit,64
t3.small,2.0,Low to Moderate,2
c3.xlarge,7.5,Moderate,4
m3.2xlarge,30.0,High,8
c5.4xlarge,32.0,Up to 10 Gigabit,16
m5.12xlarge,192.0,10 Gigabit,48
c5.xlarge,8.0,Up to 10 Gigabit,4
i3.4xlarge,122.0,Up to 10 Gigabit,16
m2.xlarge,17.1,Moderate,2
g3.8xlarge,244.0,10 Gigabit,32
c5.9xlarge,72.0,10 Gigabit,36
r3.4xlarge,122.0,High,16
c5.large,4.0,Up to 10 Gigabit,2
i3.2xlarge,61.0,Up to 10 Gigabit,8
r3.8xlarge,244.0,10 Gigabit,32
c5d.18xlarge,144.0,25 Gigabit,72
g2.8xlarge,60.0,10 Gigabit,32
m5.24xlarge,384.0,25 Gigabit,96
m5.4xlarge,64.0,Up to 10 Gigabit,16
m4.16xlarge,256.0,20 Gigabit,64
r4.large,15.25,Up to 10 Gigabit,2
m5.2xlarge,32.0,Up to 10 Gigabit,8
d2.2xlarge,61.0,High,8
r5.2xlarge,64.0,10 Gigabit,8
m5a.xlarge,16.0,Up to 10 Gigabit,4
i3.xlarge,30.5,Up to 10 Gigabit,4
r5d.large,16.0,10 Gigabit,2
z1d.6xlarge,192.0,10 Gigabit,24
r5d.12xlarge,384.0,10 Gigabit,48
g3.4xlarge,122.0,Up to 10 Gigabit,16
d2.8xlarge,244.0,10 Gigabit,36
i3.16xlarge,488.0,20 Gigabit,64
m4.xlarge,16.0,High,4
t3.nano,0.5,Low,2
m5d.12xlarge,192.0,10 Gigabit,48
x1e.xlarge,122.0,Up to 10 Gigabit,4
m4.large,8.0,Moderate,2
p3.16xlarge,488.0,25 Gigabit,64
p2.xlarge,61.0,High,4
r4.2xlarge,61.0,Up to 10 Gigabit,8
r5d.24xlarge,768.0,25 Gigabit,96
r5.xlarge,32.0,10 Gigabit,4
m5d.large,8.0,Up to 10 Gigabit,2
r5.large,16.0,10 Gigabit,2
c5d.9xlarge,72.0,10 Gigabit,36
i3.8xlarge,244.0,10 Gigabit,32
z1d.large,16.0,Up to 10 Gigabit,2
m4.2xlarge,32.0,High,8
t2.micro,1.0,Low to Moderate,1
i2.2xlarge,61.0,High,8
x1.16xlarge,976.0,High,64
t2.xlarge,16.0,Moderate,4
t2.medium,4.0,Low to Moderate,2
r5d.xlarge,32.0,10 Gigabit,4
i3.large,15.25,Up to 10 Gigabit,2
i2.xlarge,30.5,Moderate,4
c3.8xlarge,60.0,10 Gigabit,32
m3.large,7.5,Moderate,2
c5d.large,4.0,Up to 10 Gigabit,2
