InstanceType,memory_gb,vcpu,network
m4.10xlarge,160.0,40,10 Gigabit
c5.24xlarge,192.0,96,25 Gigabit
i3.8xlarge,244.0,32,10 Gigabit
c5a.large,4.0,2,Up to 10 Gigabit
m6i.16xlarge,256.0,64,25000 Megabit
m6i.large,8.0,2,Up to 12500 Megabit
inf1.24xlarge,192.0,96,100 Gigabit
i3.16xlarge,488.0,64,20 Gigabit
t2.large,8.0,2,Low to Moderate
m5ad.large,8.0,2,Up to 10 Gigabit
r5b.16xlarge,512.0,64,20 Gigabit
r5ad.2xlarge,64.0,8,Up to 10 Gigabit
m5dn.8xlarge,128.0,32,25 Gigabit
c5.4xlarge,32.0,16,Up to 10 Gigabit
r5n.4xlarge,128.0,16,Up to 25 Gigabit
c3.8xlarge,60.0,32,10 Gigabit
r5.16xlarge,512.0,64,20 Gigabit
r5dn.large,16.0,2,Up to 25 Gigabit
m6i.24xlarge,384.0,96,37500 Megabit
m5zn.3xlarge,48.0,12,Up to 25 Gigabit
i4i.xlarge,32.0,4,Up to 10 Gigabit
g4ad.4xlarge,64.0,16,Up to 10 Gigabit
m1.large,7.5,2,Moderate
r6g.2xlarge,64.0,8,Up to 10 Gigabit
c5.9xlarge,72.0,36,10 Gigabit
c5ad.24xlarge,192.0,96,20 Gigabit
x1e.xlarge,122.0,4,Up to 10 Gigabit
m5n.24xlarge,384.0,96,100 Gigabit
r3.8xlarge,244.0,32,10 Gigabit
r5d.8xlarge,256.0,32,10 Gigabit
t3.xlarge,16.0,4,Up to 5 Gigabit
r5d.4xlarge,128.0,16,Up to 10 Gigabit
r5.4xlarge,128.0,16,Up to 10 Gigabit
m6g.12xlarge,192.0,48,12 Gigabit
m6id.large,8.0,2,Up to 12500 Megabit
m5n.xlarge,16.0,4,Up to 25 Gigabit
x2iedn.2xlarge,256.0,8,Up to 25 Gigabit
x1e.8xlarge,976.0,32,Up to 10 Gigabit
r5d.12xlarge,384.0,48,10 Gigabit
c5a.8xlarge,64.0,32,10 Gigabit
m2.4xlarge,68.4,8,High
r4.2xlarge,61.0,8,Up to 10 Gigabit
m5zn.2xlarge,32.0,8,Up to 25 Gigabit
m3.large,7.5,2,Moderate
c5.12xlarge,96.0,48,12 Gigabit
c6a.12xlarge,96.0,48,18750 Megabit
u-12tb1.112xlarge,12288.0,448,100 Gigabit
r5ad.large,16.0,2,Up to 10 Gigabit
i2.8xlarge,244.0,32,10 Gigabit
r3.xlarge,30.5,4,Moderate
c5a.4xlarge,32.0,16,Up to 10 Gigabit
i4i.8xlarge,256.0,32,18750 Megabit
r6i.2xlarge,64.0,8,Up to 12500 Megabit
r4.xlarge,30.5,4,Up to 10 Gigabit
r6i.32xlarge,1024.0,128,50000 Megabit
c5ad.large,4.0,2,Up to 10 Gigabit
i4i.16xlarge,512.0,64,37500 Megabit
r4.8xlarge,244.0,32,10 Gigabit
x2idn.24xlarge,1536.0,96,75 Gigabit
c5ad.16xlarge,128.0,64,20 Gigabit
c6a.large,4.0,2,Up to 12500 Megabit
m5.8xlarge,128.0,32,10 Gigabit
c5d.4xlarge,32.0,16,Up to 10 Gigabit
t3.large,8.0,2,Up to 5 Gigabit
r6g.12xlarge,384.0,48,20 Gigabit
m5ad.xlarge,16.0,4,Up to 10 Gigabit
m5d.xlarge,16.0,4,Up to 10 Gigabit
c5n.18xlarge,192.0,72,100 Gigabit
m5ad.16xlarge,256.0,64,12 Gigabit
r5a.12xlarge,384.0,48,10 Gigabit
c6i.8xlarge,64.0,32,12500 Megabit
m4.large,8.0,2,Moderate
r6g.8xlarge,256.0,32,10 Gigabit
m5dn.24xlarge,384.0,96,100 Gigabit
m6g.16xlarge,256.0,64,25 Gigabit
r5.12xlarge,384.0,48,10 Gigabit
c6gd.16xlarge,128.0,64,25 Gigabit
m6i.32xlarge,512.0,128,50000 Megabit
m6i.xlarge,16.0,4,Up to 12500 Megabit
r6i.24xlarge,768.0,96,37500 Megabit
i3en.6xlarge,192.0,24,25 Gigabit
t3.2xlarge,32.0,8,Up to 5 Gigabit
r5.2xlarge,64.0,8,Up to 10 Gigabit
r4.large,15.25,2,Up to 10 Gigabit
r6a.8xlarge,256.0,32,12500 Megabit
r4.4xlarge,122.0,16,Up to 10 Gigabit
i3en.xlarge,32.0,4,Up to 25 Gigabit
c5.18xlarge,144.0,72,25 Gigabit
x2iedn.24xlarge,3072.0,96,75 Gigabit
m5d.12xlarge,192.0,48,10 Gigabit
r5d.16xlarge,512.0,64,20 Gigabit
m5d.2xlarge,32.0,8,Up to 10 Gigabit
m5.4xlarge,64.0,16,Up to 10 Gigabit
m4.xlarge,16.0,4,High
m1.small,1.7,1,Low
c6i.24xlarge,192.0,96,37500 Megabit
r6id.12xlarge,384.0,48,18750 Megabit
d2.8xlarge,244.0,36,10 Gigabit
r5.8xlarge,256.0,32,10 Gigabit
c6g.8xlarge,64.0,32,Up to 10 Gigabit
r6id.32xlarge,1024.0,128,50000 Megabit
i3en.3xlarge,96.0,12,Up to 25 Gigabit
r5d.24xlarge,768.0,96,25 Gigabit
c6id.4xlarge,32.0,16,Up to 12500 Megabit
m5d.16xlarge,256.0,64,20 Gigabit
r5dn.2xlarge,64.0,8,Up to 25 Gigabit
c5d.9xlarge,72.0,36,10 Gigabit
r5.24xlarge,768.0,96,25 Gigabit
m5ad.2xlarge,32.0,8,Up to 10 Gigabit
d3.8xlarge,256.0,32,25 Gigabit
x2iezn.8xlarge,1024.0,32,75 Gigabit
r6id.16xlarge,512.0,64,25000 Megabit
c5d.18xlarge,144.0,72,25 Gigabit
m6i.12xlarge,192.0,48,18750 Megabit
m5.12xlarge,192.0,48,10 Gigabit
m5.24xlarge,384.0,96,25 Gigabit
g4dn.2xlarge,32.0,8,Up to 25 Gigabit
r5ad.12xlarge,384.0,48,10 Gigabit
r5.xlarge,32.0,4,Up to 10 Gigabit
m6i.8xlarge,128.0,32,12500 Megabit
m5d.24xlarge,384.0,96,25 Gigabit
m6gd.medium,4.0,1,Up to 10 Gigabit
i3.4xlarge,122.0,16,Up to 10 Gigabit
m6g.medium,4.0,1,Up to 10 Gigabit
m5a.2xlarge,32.0,8,Up to 10 Gigabit
c5n.large,5.25,2,Up to 25 Gigabit
c5a.xlarge,8.0,4,Up to 10 Gigabit
r6gd.8xlarge,256.0,32,10 Gigabit
m6g.large,8.0,2,Up to 10 Gigabit
m5d.8xlarge,128.0,32,10 Gigabit
r5d.large,16.0,2,Up to 10 Gigabit
r5a.24xlarge,768.0,96,20 Gigabit
i3.2xlarge,61.0,8,Up to 10 Gigabit
inf1.2xlarge,16.0,8,Up to 25 Gigabit
r6i.12xlarge,384.0,48,18750 Megabit
m5d.4xlarge,64.0,16,Up to 10 Gigabit
d2.2xlarge,61.0,8,High
m3.xlarge,15.0,4,High
c6gn.8xlarge,64.0,32,50 Gigabit
r6a.2xlarge,64.0,8,Up to 12500 Megabit
m5zn.12xlarge,192.0,48,100 Gigabit
r5dn.16xlarge,512.0,64,75 Gigabit
m5zn.xlarge,16.0,4,Up to 25 Gigabit
z1d.2xlarge,64.0,8,Up to 10 Gigabit
m6g.2xlarge,32.0,8,Up to 10 Gigabit
c5.2xlarge,16.0,8,Up to 10 Gigabit
t3.micro,1.0,2,Up to 5 Gigabit
r5b.xlarge,32.0,4,Up to 10 Gigabit
c5d.2xlarge,16.0,8,Up to 10 Gigabit
c5n.xlarge,10.5,4,Up to 25 Gigabit
r5ad.24xlarge,768.0,96,20 Gigabit
r6i.16xlarge,512.0,64,25000 Megabit
g5.2xlarge,32.0,8,Up to 10 Gigabit
r5b.4xlarge,128.0,16,Up to 10 Gigabit
r5b.2xlarge,64.0,8,Up to 10 Gigabit
x1.16xlarge,976.0,64,High
c6a.xlarge,8.0,4,Up to 12500 Megabit
i4i.2xlarge,64.0,8,Up to 12 Gigabit
p3.16xlarge,488.0,64,25 Gigabit
m5a.12xlarge,192.0,48,10 Gigabit
c6i.12xlarge,96.0,48,18750 Megabit
i3en.large,16.0,2,Up to 25 Gigabit
z1d.12xlarge,384.0,48,25 Gigabit
r5a.xlarge,32.0,4,Up to 10 Gigabit
c6i.32xlarge,256.0,128,50000 Megabit
i3.xlarge,30.5,4,Up to 10 Gigabit
u-6tb1.56xlarge,6144.0,224,100 Gigabit
m5.2xlarge,32.0,8,Up to 10 Gigabit
z1d.xlarge,32.0,4,Up to 10 Gigabit
r5n.large,16.0,2,Up to 25 Gigabit
c6g.medium,2.0,1,Up to 10 Gigabit
c6i.xlarge,8.0,4,Up to 12500 Megabit
m3.medium,3.75,1,Moderate
m6i.4xlarge,64.0,16,Up to 12500 Megabit
f1.2xlarge,122.0,8,Up to 10 Gigabit
t2.xlarge,16.0,4,Moderate
i3en.2xlarge,64.0,8,Up to 25 Gigabit
r5b.12xlarge,384.0,48,10 Gigabit
m4.2xlarge,32.0,8,High
g5.24xlarge,384.0,96,50 Gigabit
i2.2xlarge,61.0,8,High
t3a.xlarge,16.0,4,Up to 5 Gigabit
m5ad.12xlarge,192.0,48,10 Gigabit
m6a.2xlarge,32.0,8,Up to 12500 Megabit
r6g.large,16.0,2,Up to 10 Gigabit
m5dn.12xlarge,192.0,48,50 Gigabit
r3.2xlarge,61.0,8,High
c6a.24xlarge,192.0,96,37500 Megabit
m6gd.16xlarge,256.0,64,25 Gigabit
c5n.2xlarge,21.0,8,Up to 25 Gigabit
c3.large,3.75,2,Moderate
h1.8xlarge,128.0,32,10 Gigabit
p2.16xlarge,732.0,64,20 Gigabit
r5dn.8xlarge,256.0,32,25 Gigabit
c6a.8xlarge,64.0,32,12500 Megabit
r5a.large,16.0,2,Up to 10 Gigabit
m6id.8xlarge,128.0,32,12500 Megabit
inf1.6xlarge,48.0,24,25 Gigabit
p4d.24xlarge,1152.0,96,400 Gigabit
m4.4xlarge,64.0,16,High
m5n.16xlarge,256.0,64,75 Gigabit
c5d.large,4.0,2,Up to 10 Gigabit
c6i.4xlarge,32.0,16,Up to 12500 Megabit
i3en.24xlarge,768.0,96,100 Gigabit
r5d.xlarge,32.0,4,Up to 10 Gigabit
r6i.8xlarge,256.0,32,12500 Megabit
x2idn.16xlarge,1024.0,64,50 Gigabit
x1e.2xlarge,244.0,8,Up to 10 Gigabit
m5.xlarge,16.0,4,Up to 10 Gigabit
m3.2xlarge,30.0,8,High
c5d.12xlarge,96.0,48,12 Gigabit
r5ad.8xlarge,256.0,32,Up to 10 Gigabit
x1e.16xlarge,1952.0,64,10 Gigabit
t3a.2xlarge,32.0,8,Up to 5 Gigabit
r5ad.xlarge,32.0,4,Up to 10 Gigabit
x1e.4xlarge,488.0,16,Up to 10 Gigabit
i2.xlarge,30.5,4,Moderate
x2iedn.32xlarge,4096.0,128,100 Gigabit
x2iedn.xlarge,128.0,4,Up to 25 Gigabit
x2iezn.6xlarge,768.0,24,50 Gigabit
m6a.24xlarge,384.0,96,37500 Megabit
t4g.micro,1.0,2,Up to 5 Gigabit
r6i.large,16.0,2,Up to 12500 Megabit
c7g.16xlarge,128.0,64,30 Gigabit
r5n.2xlarge,64.0,8,Up to 25 Gigabit
r6id.2xlarge,64.0,8,Up to 12500 Megabit
r5d.2xlarge,64.0,8,Up to 10 Gigabit
m6i.2xlarge,32.0,8,Up to 12500 Megabit
c5a.24xlarge,192.0,96,20 Gigabit
g4dn.xlarge,16.0,4,Up to 25 Gigabit
c6id.24xlarge,192.0,96,37500 Megabit
m6gd.8xlarge,128.0,32,10 Gigabit
u-9tb1.112xlarge,9216.0,448,100 Gigabit
r5dn.xlarge,32.0,4,Up to 25 Gigabit
c7g.xlarge,8.0,4,Up to 12500 Megabit
c5.xlarge,8.0,4,Up to 10 Gigabit
r5n.8xlarge,256.0,32,25 Gigabit
m5a.large,8.0,2,Up to 10 Gigabit
g5.12xlarge,192.0,48,40 Gigabit
c6id.large,4.0,2,Up to 12500 Megabit
r6id.xlarge,32.0,4,Up to 12500 Megabit
m5a.xlarge,16.0,4,Up to 10 Gigabit
x2idn.32xlarge,2048.0,128,100 Gigabit
r6a.16xlarge,512.0,64,25000 Megabit
r5a.8xlarge,256.0,32,Up to 10 Gigabit
c4.large,3.75,2,Moderate
d2.xlarge,30.5,4,Moderate
c5a.12xlarge,96.0,48,12 Gigabit
c3.2xlarge,15.0,8,High
c4.xlarge,7.5,4,High
r5a.4xlarge,128.0,16,Up to 10 Gigabit
i3en.12xlarge,384.0,48,50 Gigabit
m5ad.8xlarge,128.0,32,Up to 10 Gigabit
m5dn.4xlarge,64.0,16,Up to 25 Gigabit
r6a.large,16.0,2,Up to 12500 Megabit
c6gn.medium,2.0,1,Up to 25 Gigabit
r5n.16xlarge,512.0,64,75 Gigabit
inf1.xlarge,8.0,4,Up to 25 Gigabit
r5a.16xlarge,512.0,64,12 Gigabit
c6g.xlarge,8.0,4,Up to 10 Gigabit
m5a.4xlarge,64.0,16,Up to 10 Gigabit
c6g.16xlarge,128.0,64,25 Gigabit
m5n.4xlarge,64.0,16,Up to 25 Gigabit
d3.4xlarge,128.0,16,Up to 15 Gigabit
t3.medium,4.0,2,Up to 5 Gigabit
c3.xlarge,7.5,4,Moderate
r4.16xlarge,488.0,64,20 Gigabit
x1.32xlarge,1952.0,128,High
r5b.8xlarge,256.0,32,10 Gigabit
p2.xlarge,61.0,4,High
r5a.2xlarge,64.0,8,Up to 10 Gigabit
c6id.2xlarge,16.0,8,Up to 12500 Megabit
c6gn.large,4.0,2,Up to 25 Gigabit
r5n.12xlarge,384.0,48,50 Gigabit
i3.large,15.25,2,Up to 10 Gigabit
r6i.xlarge,32.0,4,Up to 12500 Megabit
m6a.4xlarge,64.0,16,Up to 12500 Megabit
r5n.24xlarge,768.0,96,100 Gigabit
c6gd.4xlarge,32.0,16,Up to 10 Gigabit
x1e.32xlarge,3904.0,128,25 Gigabit
c4.4xlarge,30.0,16,High
c6id.xlarge,8.0,4,Up to 12500 Megabit
r6a.24xlarge,768.0,96,37500 Megabit
m5zn.large,8.0,2,Up to 25 Gigabit
g4dn.8xlarge,128.0,32,50 Gigabit
c5d.xlarge,8.0,4,Up to 10 Gigabit
i4i.4xlarge,128.0,16,Up to 25 Gigabit
x2iezn.2xlarge,256.0,8,Up to 25 Gigabit
c5n.9xlarge,96.0,36,50 Gigabit
r5n.xlarge,32.0,4,Up to 25 Gigabit
c6id.32xlarge,256.0,128,50000 Megabit
r6gd.12xlarge,384.0,48,20 Gigabit
m5ad.4xlarge,64.0,16,Up to 10 Gigabit
x2iezn.12xlarge,1536.0,48,100 Gigabit
c6i.large,4.0,2,Up to 12500 Megabit
r6i.4xlarge,128.0,16,Up to 12500 Megabit
c6gd.8xlarge,64.0,32,10 Gigabit
p2.8xlarge,488.0,32,10 Gigabit
c5a.16xlarge,128.0,64,20 Gigabit
t4g.small,2.0,2,Up to 5 Gigabit
g3.16xlarge,488.0,64,20 Gigabit
m5dn.16xlarge,256.0,64,75 Gigabit
m6id.xlarge,16.0,4,Up to 12500 Megabit
c5d.24xlarge,192.0,96,25 Gigabit
m6gd.12xlarge,192.0,48,20 Gigabit
m5a.24xlarge,384.0,96,20 Gigabit
r5b.24xlarge,768.0,96,25 Gigabit
im4gn.2xlarge,32.0,8,Up to 25 Gigabit
d2.4xlarge,122.0,16,High
m5d.large,8.0,2,Up to 10 Gigabit
x2iedn.4xlarge,512.0,16,Up to 25 Gigabit
